Fuel,Elec,Gas
StartDate,2015-01-01,
EndDate,2015-12-31,
Timezone,Europe/London,
1,1442371,251.1264
2,1564118,246.7822
3,1653984,238.3827
4,1684045,229.7069
5,1882487,214.109
6,1866439,219.1477
7,1874308,225.2265
8,1844157,243.7518
9,1778895,248.5793
10,1586450,242.5233
11,1593513,268.9604
12,1819569,231.9603
13,1868644,228.3858
14,1898370,239.819
15,1845880,232.1723
16,1900051,248.2019
17,1781660,277.0376
18,1750644,292.495
19,2011953,266.2585
20,2050196,270.7126
21,2059582,268.8867
22,2044134,270.5613
23,1974870,264.3387
24,1725958,244.5623
25,1690879,246.5293
26,1873915,239.8666
27,1927680,243.292
28,1864256,246.8148
29,1953842,236.1314
30,1933937,239.9241
31,1734655,248.0033
32,1701009,291.149
33,2030705,263.559
34,2035173,274.314
35,2009506,282.2482
36,2034361,266.9773
37,1976443,291.4688
38,1813682,290.1328
39,1701189,316.919
40,1912207,293.9966
41,1990376,289.9794
42,2002811,269.2208
43,1986976,260.4197
44,1893347,234.6872
45,1716908,250.152
46,1632278,248.3716
47,1875723,227.6517
48,1843018,247.2754
49,1806764,259.9049
50,1850862,241.5905
51,1857972,241.914
52,1666367,238.6712
53,1668992,243.6367
54,1815939,243.8169
55,1834093,215.8275
56,1888066,241.8326
57,1812310,240.343
58,1787569,252.3304
59,1589827,260.3324
60,1500747,250.9637
61,1785715,226.9282
62,1814683,231.0856
63,1816361,223.0101
64,1829467,231.7089
65,1693010,240.3673
66,1465672,226.0497
67,1506072,230.1566
68,1785631,223.6546
69,1756150,238.7168
70,1770747,231.9318
71,1739259,214.1805
72,1774562,212.8192
73,1626265,216.5447
74,1604537,234.9189
75,1869923,226.5567
76,1855600,237.61
77,1820792,254.1263
78,1836102,269.1639
79,1732544,250.6951
80,1549606,255.5482
81,1514772,245.641
82,1740606,221.3016
83,1772107,228.4081
84,1772941,222.0688
85,1705972,220.2577
86,1702005,221.6423
87,1471977,210.751
88,1392347,222.1545
89,1638579,203.7242
90,1611790,224.3669
91,1663603,224.5039
92,1692412,221.9492
93,1560389,205.216
94,1471366,210.5017
95,1386285,206.4179
96,1383953,194.9054
97,1543271,192.3182
98,1560888,193.9906
99,1543145,190.0196
100,1488600,203.3278
101,1278386,202.8503
102,1313442,200.5963
103,1576874,196.8462
104,1510750,194.6691
105,1528966,189.608
106,1567694,193.0506
107,1527948,211.6657
108,1317245,196.6884
109,1360552,187.6189
110,1541609,154.4307
