Season,Aut,Aut,Aut,HSr,HSr,HSr,Smr,Smr,Smr,Spr,Spr,Spr,Wtr,Wtr,Wtr,WtrII,WtrII,WtrII
Day,Wd,Sat,Sun,Wd,Sat,Sun,Wd,Sat,Sun,Wd,Sat,Sun,Wd,Sat,Sun,Wd,Sat,Sun
Tariff,DomUnr,DomUnr ,DomUnr,DomUnr,DomUnr ,DomUnr,DomUnr,DomUnr ,DomUnr,DomUnr,DomUnr ,DomUnr,DomUnr,DomUnr ,DomUnr,DomUnr,DomUnr ,DomUnr
StartDate,2014-09-01,2014-09-01,2014-09-01,2014-07-20,2014-07-20,2014-07-20,2014-05-11,2014-05-11,2014-05-11,2014-03-30,2014-03-30,2014-03-30,2014-01-01,2014-01-01,2014-01-01,2014-10-26,2014-10-26,2014-10-26
EndDate,2014-10-25,2014-10-25,2014-10-25,2014-08-31,2014-08-31,2014-08-31,2014-07-19,2014-07-19,2014-07-19,2014-05-10,2014-05-10,2014-05-10,2014-03-29,2014-03-29,2014-03-29,2014-12-31,2014-12-31,2014-12-31
Timezone,Europe/London,,,,,,,,,,,,,,,,,
00:30,0.31,0.33,0.339,0.315,0.325,0.324,0.314,0.333,0.344,0.338,0.351,0.366,0.352,0.387,0.391,0.352,0.387,0.391
01:00,0.273,0.294,0.306,0.287,0.291,0.296,0.276,0.301,0.306,0.304,0.312,0.312,0.313,0.344,0.348,0.313,0.344,0.348
01:30,0.252,0.268,0.277,0.26,0.269,0.276,0.256,0.271,0.28,0.279,0.304,0.286,0.294,0.322,0.32,0.294,0.322,0.32
02:00,0.236,0.248,0.259,0.242,0.249,0.255,0.247,0.249,0.259,0.258,0.262,0.271,0.278,0.3,0.299,0.278,0.3,0.299
02:30,0.23,0.24,0.249,0.234,0.238,0.243,0.229,0.236,0.241,0.25,0.251,0.26,0.266,0.284,0.283,0.266,0.284,0.283
03:00,0.228,0.238,0.24,0.228,0.231,0.234,0.221,0.23,0.233,0.244,0.25,0.255,0.258,0.269,0.27,0.258,0.269,0.27
03:30,0.224,0.233,0.235,0.223,0.23,0.229,0.22,0.23,0.228,0.239,0.239,0.244,0.258,0.269,0.268,0.258,0.269,0.268
04:00,0.219,0.228,0.227,0.222,0.224,0.221,0.215,0.222,0.222,0.236,0.235,0.249,0.255,0.263,0.264,0.255,0.263,0.264
04:30,0.221,0.226,0.224,0.22,0.22,0.221,0.217,0.222,0.219,0.238,0.249,0.247,0.256,0.261,0.261,0.256,0.261,0.261
