Season,Aut,Aut,Aut,HSr,HSr,HSr,Smr,Smr,Smr,Spr,Spr,Spr,Wtr,Wtr,Wtr,WtrII,WtrII,WtrII
Day,Wd,Sat,Sun,Wd,Sat,Sun,Wd,Sat,Sun,Wd,Sat,Sun,Wd,Sat,Sun,Wd,Sat,Sun
Tariff,DomUnr,DomUnr ,DomUnr,DomUnr,DomUnr ,DomUnr,DomUnr,DomUnr ,DomUnr,DomUnr,DomUnr ,DomUnr,DomUnr,DomUnr ,DomUnr,DomUnr,DomUnr ,DomUnr
StartDate,2014-09-01,2014-09-01,2014-09-01,2014-07-20,2014-07-20,2014-07-20,2014-05-11,2014-05-11,2014-05-11,2014-03-30,2014-03-30,2014-03-30,2014-01-01,2014-01-01,2014-01-01,2014-10-26,2014-10-26,2014-10-26
EndDate,2014-10-25,2014-10-25,2014-10-25,2014-08-31,2014-08-31,2014-08-31,2014-07-19,2014-07-19,2014-07-19,2014-05-10,2014-05-10,2014-05-10,2014-03-29,2014-03-29,2014-03-29,2014-12-31,2014-12-31,2014-12-31
Timezone,Europe/London,,,,,,,,,,,,,,,,,
00:30,0.962,0.958,0.954,0.902,0.9,0.895,0.914,0.925,0.91,1.037,1.029,0.993,1.198,1.192,1.19,1.198,1.192,1.19
01:00,0.946,0.938,0.928,0.887,0.877,0.883,0.897,0.925,0.902,1.021,1.011,0.99,1.234,1.224,1.224,1.234,1.224,1.224
01:30,0.94,0.928,0.925,0.873,0.864,0.873,0.883,0.9,0.881,1.006,0.999,1.003,1.269,1.249,1.258,1.269,1.249,1.258
02:00,0.95,0.941,0.935,0.873,0.865,0.869,0.891,0.9,0.88,1.051,1.045,1.042,1.287,1.263,1.265,1.287,1.263,1.265
02:30,0.969,0.959,0.953,0.873,0.861,0.873,0.896,0.91,0.888,1.064,1.062,1.045,1.291,1.265,1.272,1.291,1.265,1.272
03:00,0.972,0.957,0.959,0.867,0.861,0.868,0.898,0.904,0.897,1.078,1.069,1.061,1.291,1.264,1.268,1.291,1.264,1.268
03:30,0.975,0.955,0.967,0.869,0.859,0.876,0.898,0.901,0.892,1.081,1.079,1.049,1.29,1.261,1.266,1.29,1.261,1.266
04:00,0.975,0.955,0.954,0.871,0.864,0.861,0.894,0.896,0.889,1.07,1.07,1.056,1.282,1.253,1.257,1.282,1.253,1.257
04:30,0.979,0.952,0.938,0.867,0.861,0.861,0.889,0.892,0.875,1.075,1.074,1.043,1.282,1.243,1.25,1.282,1.243,1.25
