TransportType,motorcycles,taxis,cars,Buses,LGVs,rigids,artics
StartDate,2016-01-01,,,,,,
EndDate,2016-12-31,,,,,,
Timezone,Europe/London,,,,,,
00:30,0.237,1.125,0.398,0.594,0.198,0.435,0.436
01:00,0.178,1.003,0.312,0.433,0.172,0.393,0.4
01:30,0.12,0.881,0.226,0.272,0.146,0.352,0.365
02:00,0.093,0.647,0.192,0.234,0.138,0.378,0.378
02:30,0.066,0.412,0.159,0.197,0.13,0.404,0.39
03:00,0.065,0.349,0.147,0.189,0.148,0.355,0.366
03:30,0.063,0.286,0.135,0.18,0.167,0.306,0.342
04:00,0.086,0.276,0.149,0.204,0.215,0.413,0.427
04:30,0.109,0.267,0.163,0.229,0.262,0.52,0.511
05:00,0.199,0.343,0.226,0.367,0.341,0.7,0.664
05:30,0.288,0.419,0.288,0.505,0.42,0.88,0.817
06:00,0.699,0.565,0.54,0.721,0.934,1.195,1.161
06:30,1.11,0.71,0.791,0.937,1.448,1.511,1.504
07:00,1.62,0.786,1.086,1.184,1.771,1.5,1.646
07:30,2.129,0.861,1.381,1.431,2.094,1.49,1.788
08:00,2.375,0.873,1.461,1.435,1.875,1.498,1.739
08:30,2.62,0.885,1.54,1.438,1.656,1.507,1.689
09:00,2.166,0.897,1.424,1.487,1.672,1.693,1.791
09:30,1.712,0.909,1.308,1.537,1.689,1.88,1.892
10:00,1.452,0.983,1.23,1.499,1.724,1.96,1.956
10:30,1.192,1.057,1.152,1.462,1.76,2.041,2.02
11:00,1.165,1.095,1.144,1.404,1.765,2.077,2.025
11:30,1.138,1.133,1.136,1.347,1.77,2.112,2.031
12:00,1.167,1.125,1.168,1.335,1.76,2.118,2.034
12:30,1.196,1.117,1.2,1.324,1.75,2.124,2.037
13:00,1.239,1.143,1.209,1.339,1.748,2.072,1.988
13:30,1.282,1.169,1.219,1.354,1.746,2.021,1.94
14:00,1.292,1.281,1.231,1.392,1.775,1.97,1.862
14:30,1.302,1.393,1.244,1.43,1.804,1.919,1.784
15:00,1.375,1.321,1.31,1.454,1.838,1.853,1.678
15:30,1.447,1.248,1.376,1.477,1.872,1.788,1.572
16:00,1.671,1.337,1.448,1.504,1.887,1.665,1.468
16:30,1.894,1.425,1.521,1.531,1.902,1.542,1.363
17:00,2.237,1.447,1.606,1.47,1.714,1.419,1.241
17:30,2.579,1.469,1.691,1.41,1.525,1.296,1.119
18:00,2.518,1.414,1.647,1.377,1.314,1.214,1.038
18:30,2.458,1.36,1.604,1.343,1.103,1.132,0.956
19:00,2.086,1.394,1.54,1.33,0.973,0.799,0.733
19:30,1.715,1.429,1.476,1.318,0.843,0.466,0.511
20:00,1.417,1.445,1.314,1.195,0.724,0.462,0.498
20:30,1.119,1.461,1.153,1.071,0.604,0.459,0.485
21:00,0.963,1.396,1.054,0.971,0.52,0.384,0.427
21:30,0.807,1.331,0.954,0.871,0.437,0.31,0.37
22:00,0.705,1.301,0.893,0.807,0.384,0.338,0.381
22:30,0.602,1.271,0.832,0.744,0.331,0.365,0.393
23:00,0.525,1.287,0.748,0.745,0.3,0.409,0.424
23:30,0.447,1.304,0.665,0.747,0.269,0.453,0.455
00:00,0.346,1.235,0.539,0.681,0.237,0.452,0.453
00:30,0.246,1.167,0.412,0.616,0.206,0.451,0.451
01:00,0.185,1.04,0.323,0.449,0.178,0.408,0.415
01:30,0.125,0.914,0.234,0.282,0.151,0.365,0.378
02:00,0.097,0.671,0.2,0.243,0.143,0.392,0.391
02:30,0.069,0.428,0.165,0.205,0.134,0.419,0.404
03:00,0.067,0.362,0.153,0.195,0.154,0.368,0.379
03:30,0.066,0.297,0.14,0.186,0.173,0.317,0.354
04:00,0.089,0.287,0.155,0.212,0.222,0.428,0.442
04:30,0.113,0.277,0.17,0.238,0.272,0.539,0.53
05:00,0.206,0.355,0.234,0.381,0.354,0.725,0.688
05:30,0.299,0.434,0.299,0.524,0.436,0.911,0.847
06:00,0.726,0.586,0.56,0.748,0.968,1.239,1.203
06:30,1.153,0.737,0.821,0.972,1.5,1.566,1.559
07:00,1.676,0.813,1.124,1.225,1.832,1.552,1.703
07:30,2.199,0.89,1.427,1.478,2.163,1.539,1.847
08:00,2.47,0.908,1.519,1.491,1.947,1.557,1.807
08:30,2.74,0.925,1.611,1.504,1.732,1.576,1.767
09:00,2.264,0.937,1.488,1.554,1.748,1.769,1.871
09:30,1.787,0.949,1.366,1.605,1.763,1.963,1.976
10:00,1.515,1.025,1.283,1.564,1.799,2.045,2.04
10:30,1.243,1.101,1.201,1.523,1.834,2.127,2.105
11:00,1.211,1.138,1.189,1.459,1.834,2.158,2.105
11:30,1.18,1.174,1.177,1.396,1.835,2.189,2.105
12:00,1.207,1.163,1.207,1.381,1.82,2.19,2.103
12:30,1.233,1.152,1.237,1.366,1.805,2.191,2.101
13:00,1.275,1.176,1.245,1.378,1.799,2.133,2.047
13:30,1.317,1.201,1.252,1.391,1.794,2.076,1.993
14:00,1.329,1.317,1.266,1.432,1.825,2.025,1.914
14:30,1.34,1.434,1.28,1.472,1.856,1.974,1.836
