featureId,ElDmUnr,ElDmE7,ElId,GasDm,GasId,OthrId,BldTotDm,BldTotId,BldTot,Mcyc,Taxi,Car,Bus,LGV,Rigd,Art,TransTot,Metab,AllTot
300,3e-07,0.0,4.65e-06,9e-07,5.1e-06,0.0,1.25e-06,9.8e-06,1.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.645e-05,2.75e-05
301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
413,0.0015955,0.0,0.00536,0.004,0.004684,0.0,0.005596,0.01004,0.01564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003284,0.01892
414,5.1e-06,0.0,3.046e-05,1.353e-05,3.19e-05,0.0,1.86e-05,6.235e-05,8.094e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.515e-05,0.00010616
415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420,0.006416,0.0,0.03452,0.01605,0.03098,0.0,0.02246,0.0655,0.08795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005245,0.0932
421,0.01584,0.0,0.0756,0.0394,0.0673,0.0,0.05524,0.143,0.1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01242,0.2106
422,0.0002044,0.0,0.001101,0.000512,0.000995,0.0,0.000716,0.002094,0.002811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001992,0.00301
423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-07,1e-07
533,0.01145,0.0,0.01794,0.03586,0.02547,0.0,0.04733,0.0434,0.09076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005695,0.09644
534,0.01036,0.0,0.03992,0.02829,0.04047,0.0,0.03867,0.0804,0.1191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006283,0.1254
535,0.00445,0.0,0.02301,0.01127,0.02094,0.0,0.01572,0.04395,0.05966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003353,0.063
536,0.000195,0.0,0.001057,0.000488,0.0009484,0.0,0.0006833,0.002005,0.00269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001509,0.00284
537,0.008644,0.0,0.04654,0.02159,0.0417,0.0,0.03024,0.08826,0.11847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00666,0.1251
538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
539,1.01e-05,0.0,6.03e-05,2.57e-05,5.56e-05,0.0,3.576e-05,0.00011593,0.0001518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4e-06,0.0001601
540,0.004017,0.0,0.01237,0.00989,0.01092,0.0,0.0139,0.02328,0.0372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003302,0.0405
541,0.07196,0.0,0.2075,0.177,0.183,0.0,0.2489,0.3906,0.6396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0596,0.699
542,0.0372,0.0,0.167,0.0923,0.1486,0.0,0.1295,0.3154,0.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0292,0.474
543,0.003057,0.0,0.01646,0.00764,0.014755,0.0,0.0107,0.03123,0.04193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002356,0.04428
544,0.00814,0.0,0.04385,0.02034,0.03928,0.0,0.02849,0.0831,0.11163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00627,0.11786
545,0.0007997,0.0,0.004314,0.001999,0.003864,0.0,0.002798,0.00818,0.01098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000696,0.01167
546,2.575e-05,0.0,0.0001328,6.57e-05,0.000133,0.0,9.143e-05,0.0002658,0.0003572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69e-05,0.0004342
548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
549,4.506e-05,0.0,4.02e-05,0.0001013,2.77e-05,0.0,0.0001464,6.783e-05,0.0002142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002285,0.002499
652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
653,0.0003376,0.0,0.0002694,0.0011015,0.0004125,0.0,0.001438,0.000682,0.002121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001364,0.002256
654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
655,0.005688,0.0,0.0225,0.01569,0.02321,0.0,0.02138,0.04572,0.0671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003334,0.07043
656,0.0003147,0.0,0.001701,0.0007873,0.001526,0.0,0.001102,0.003227,0.00433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002432,0.004574
657,0.0009027,0.0,0.004868,0.002256,0.00436,0.0,0.003159,0.00923,0.01239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000696,0.013084
