featureId,ElDmUnr,ElDmE7,ElId,GasDm,GasId,OthrId,BldTotDm,BldTotId,BldTot,Mcyc,Taxi,Car,Bus,LGV,Rigd,Art,TransTot,Metab,AllTot
300,1e-06,0.0,5.25e-06,3e-06,5.8e-06,0.0,4e-06,1.1e-05,1.496e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.363e-05,5.86e-05
301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
413,0.00516,0.0,0.00603,0.01294,0.005272,0.0,0.0181,0.01131,0.0294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008705,0.03812
414,1.65e-05,0.0,3.433e-05,4.375e-05,3.59e-05,0.0,6.026e-05,7.015e-05,0.0001304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67e-05,0.0001972
415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420,0.02077,0.0,0.03885,0.0519,0.03488,0.0,0.0727,0.0737,0.1464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01391,0.1603
421,0.05124,0.0,0.08514,0.1274,0.0758,0.0,0.1786,0.1609,0.3396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03296,0.3726
422,0.0006614,0.0,0.001239,0.001656,0.00112,0.0,0.002317,0.002357,0.004677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005283,0.005203
423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-07,3e-07
533,0.03705,0.0,0.0202,0.116,0.02867,0.0,0.1531,0.04886,0.2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0151,0.217
534,0.03354,0.0,0.04492,0.0915,0.04556,0.0,0.125,0.0905,0.2156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01666,0.2322
535,0.014404,0.0,0.0259,0.03644,0.02357,0.0,0.05084,0.04947,0.10034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008896,0.1092
536,0.000631,0.0,0.00119,0.001579,0.001068,0.0,0.00221,0.002258,0.004467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004003,0.004868
537,0.02795,0.0,0.0524,0.0699,0.04694,0.0,0.09784,0.0993,0.1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01765,0.2148
538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
539,3.254e-05,0.0,6.79e-05,8.315e-05,6.264e-05,0.0,0.0001157,0.0001305,0.0002463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.223e-05,0.0002685
540,0.01299,0.0,0.01392,0.03198,0.01228,0.0,0.04498,0.02621,0.07117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00875,0.07996
541,0.2328,0.0,0.2336,0.5723,0.2059,0.0,0.805,0.4397,1.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1581,1.403
542,0.1203,0.0,0.1879,0.2986,0.1672,0.0,0.419,0.3552,0.774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07745,0.8516
543,0.00989,0.0,0.01854,0.02472,0.01662,0.0,0.0346,0.03516,0.06976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00625,0.076
544,0.02634,0.0,0.04935,0.0658,0.04422,0.0,0.09216,0.09357,0.1857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01663,0.2024
545,0.002586,0.0,0.004856,0.006466,0.004353,0.0,0.009056,0.00921,0.01826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001845,0.02011
546,8.327e-05,0.0,0.0001495,0.0002126,0.0001497,0.0,0.0002959,0.0002992,0.000595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002038,0.0007987
548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
549,0.0001457,0.0,4.52e-05,0.0003278,3.12e-05,0.0,0.0004735,7.635e-05,0.00055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006058,0.006607
652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
653,0.001092,0.0,0.0003033,0.003561,0.0004644,0.0,0.004654,0.0007677,0.00542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003617,0.005783
654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
655,0.0184,0.0,0.02534,0.05072,0.02614,0.0,0.06915,0.05148,0.1206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00884,0.1294
656,0.001019,0.0,0.001916,0.002546,0.001718,0.0,0.003565,0.003633,0.0072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006447,0.00784
657,0.00292,0.0,0.005478,0.007298,0.00491,0.0,0.010216,0.01039,0.0206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001845,0.02245
658,0.001828,0.0,0.003433,0.00457,0.003077,0.0,0.006397,0.00651,0.01291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001157,0.01407
659,0.00394,0.0,0.007393,0.00985,0.006622,0.0,0.013794,0.014015,0.0278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002491,0.0303
660,3.254e-05,0.0,6.79e-05,8.315e-05,6.264e-05,0.0,0.0001157,0.0001305,0.0002463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.223e-05,0.0002685
661,0.076,0.0,0.07556,0.187,0.06665,0.0,0.263,0.1422,0.4053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0517,0.4568
662,0.0607,0.0,0.06506,0.1494,0.0574,0.0,0.2101,0.12244,0.3325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04086,0.3733
663,0.000655,0.0,0.00117,0.0016365,0.001048,0.0,0.002293,0.002218,0.00451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004182,0.00493
664,0.001335,0.0,0.00251,0.003338,0.002249,0.0,0.004673,0.00476,0.00943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000845,0.01028
665,0.0209,0.0,0.03918,0.05228,0.03513,0.0,0.0732,0.0743,0.1475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01321,0.1606
666,0.004116,0.0,0.007717,0.01029,0.00692,0.0,0.014404,0.01463,0.02904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002602,0.03165
667,0.015236,0.0,0.0279,0.03812,0.02542,0.0,0.05338,0.0533,0.1067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01074,0.11743
668,0.4023,0.0,0.1948,0.9497,0.1534,0.0,1.353,0.3484,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2896,1.99
669,1.606,0.0,0.4775,3.158,0.0854,0.0,4.766,0.563,5.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8335,6.16
670,0.981,0.0,0.3386,2.668,0.11096,0.0,3.648,0.4497,4.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.664,4.76
671,0.323,0.0,0.1472,0.842,0.0479,0.0,1.165,0.1951,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3066,1.667
672,0.03168,0.0,0.03662,0.0517,0.007614,0.0,0.0834,0.04425,0.1276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0364,0.1641
673,0.012146,0.0,0.0059,0.01953,0.001183,0.0,0.03168,0.007084,0.03876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.07
674,0.001819,0.0,0.0005093,0.003088,0.00011283,0.0,0.004906,0.0006223,0.005527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0245,0.03003
771,0.03967,0.0,0.00765,0.132,0.01213,0.0,0.1716,0.01978,0.1914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05206,0.2434
772,0.1099,0.0,0.02577,0.3596,0.0399,0.0,0.4695,0.0657,0.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04056,0.5757
773,0.05884,0.0,0.01604,0.1913,0.02463,0.0,0.25,0.04068,0.2908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01938,0.31
774,0.04828,0.0,0.01317,0.157,0.02022,0.0,0.2053,0.0334,0.2386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01591,0.2546
775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
778,0.01866,0.0,0.03497,0.04663,0.03134,0.0,0.0653,0.0663,0.1316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01179,0.1434
779,0.003834,0.0,0.007195,0.00959,0.006447,0.0,0.01342,0.01364,0.02705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002424,0.02948
780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
781,0.006042,0.0,0.006622,0.01488,0.005848,0.0,0.02092,0.01247,0.0334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00406,0.03745
782,0.1035,0.0,0.1164,0.255,0.1027,0.0,0.3584,0.2191,0.5776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0693,0.647
783,0.00308,0.0,0.003658,0.007595,0.003233,0.0,0.01067,0.006893,0.01756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00205,0.0196
784,0.0001028,0.0,0.0001999,0.000259,0.000181,0.0,0.0003617,0.000381,0.0007424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67e-05,0.000809
785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
787,0.09393,0.0,0.08307,0.231,0.0732,0.0,0.325,0.1562,0.4812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0649,0.546
788,0.912,0.0,0.4822,2.076,0.282,0.0,2.988,0.764,3.752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.582,4.336
789,1.359,0.0,0.576,3.049,0.11053,0.0,4.41,0.687,5.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8823,5.977
790,2.246,0.0,0.8447,6.06,0.28,0.0,8.305,1.125,9.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.464,10.89
791,1.865,0.0,0.6245,4.92,0.2053,0.0,6.785,0.8296,7.617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.136,8.75
792,0.4482,0.0,0.6377,0.681,0.1179,0.0,1.129,0.756,1.885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2001,2.086
793,0.1603,0.0,0.2065,0.2426,0.03796,0.0,0.4028,0.2445,0.6475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0723,0.7197
794,0.02397,0.0,0.00682,0.04056,0.001416,0.0,0.0645,0.00824,0.07275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03958,0.11237
